,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,1.6979630018997192,1.3941988327026367,0.3547,0.4623,0.70408,0.8197,17735.0,4623.0,35204.0,8197.0,50000,10000,22.837435722351074,391,157,0
0,1.2048481258773804,1.3248094440460205,0.55822,0.5543,0.85952,0.8548,27911.0,5543.0,42976.0,8548.0,50000,10000,24.47991180419922,391,157,1
0,0.9964531530570984,1.1444321487426758,0.6416,0.6027,0.89838,0.89,32080.0,6027.0,44919.0,8900.0,50000,10000,32.297003984451294,391,157,2
0,0.8813642744636536,0.9341963393211364,0.68868,0.6696,0.91778,0.9075,34434.0,6696.0,45889.0,9075.0,50000,10000,33.43639945983887,391,157,3
0,0.7984234517097473,1.0303092117309571,0.71884,0.6596,0.93092,0.9226,35942.0,6596.0,46546.0,9226.0,50000,10000,32.25951337814331,391,157,4
0,0.7357006129455567,0.9086210671424866,0.7448,0.7054,0.93884,0.9155,37240.0,7054.0,46942.0,9155.0,50000,10000,32.95830988883972,391,157,5
0,0.70455556432724,0.7810638219833373,0.75476,0.7327,0.94446,0.9422,37738.0,7327.0,47223.0,9422.0,50000,10000,32.38480234146118,391,157,6
0,0.6757749567222595,0.7561159685134887,0.76706,0.7472,0.9481,0.9383,38353.0,7472.0,47405.0,9383.0,50000,10000,33.764681339263916,391,157,7
0,0.6516924305725098,0.6996537528038025,0.77326,0.7655,0.95094,0.9478,38663.0,7655.0,47547.0,9478.0,50000,10000,32.48856234550476,391,157,8
0,0.640480231666565,0.8078394695281983,0.78044,0.7343,0.95012,0.9329,39022.0,7343.0,47506.0,9329.0,50000,10000,33.03827381134033,391,157,9
0,0.6281533543014526,0.8420680280685425,0.78232,0.7331,0.95268,0.9363,39116.0,7331.0,47634.0,9363.0,50000,10000,32.66034460067749,391,157,10
0,0.6165643008804321,0.6712565773010254,0.7888,0.7693,0.9538,0.951,39440.0,7693.0,47690.0,9510.0,50000,10000,32.71633720397949,391,157,11
0,0.6060539934539795,0.6681742574691772,0.79202,0.7705,0.95574,0.9536,39601.0,7705.0,47787.0,9536.0,50000,10000,33.885066986083984,391,157,12
0,0.5995034205245972,0.7713358850479126,0.79374,0.7445,0.95678,0.9401,39687.0,7445.0,47839.0,9401.0,50000,10000,32.374045848846436,391,157,13
0,0.5884071048641205,0.7372782136917114,0.79742,0.7559,0.95768,0.937,39871.0,7559.0,47884.0,9370.0,50000,10000,32.947345495224,391,157,14
0,0.5871948021697998,0.6851066994667053,0.79874,0.7639,0.95674,0.9497,39937.0,7639.0,47837.0,9497.0,50000,10000,32.37757968902588,391,157,15
0,0.5806050082588196,0.7609660383224487,0.80062,0.7528,0.95836,0.9454,40031.0,7528.0,47918.0,9454.0,50000,10000,33.74729013442993,391,157,16
0,0.58112144449234,0.6561437808990479,0.79906,0.7828,0.95896,0.9488,39953.0,7828.0,47948.0,9488.0,50000,10000,32.568403244018555,391,157,17
0,0.5680908302497863,0.6647013229370117,0.80398,0.7808,0.95996,0.953,40199.0,7808.0,47998.0,9530.0,50000,10000,32.906200647354126,391,157,18
0,0.5666822086906433,0.6713137619972229,0.80518,0.7768,0.95928,0.948,40259.0,7768.0,47964.0,9480.0,50000,10000,32.37029671669006,391,157,19
0,0.5648953559303284,0.7122581100463867,0.80346,0.7585,0.96134,0.9471,40173.0,7585.0,48067.0,9471.0,50000,10000,32.83413481712341,391,157,20
